epoch;loss;mse;val_loss;val_mse
0;0.00023845395480748266;0.00023845395480748266;9.252030395145994e-06;9.252030395145994e-06
0;0.00023838126799091697;0.00023838126799091697;9.080466043087654e-06;9.080466043087654e-06
0;0.0002629589580465108;0.0002629589580465108;9.191615390591323e-06;9.191615390591323e-06
0;0.00024824461434036493;0.00024824461434036493;9.653907000028994e-06;9.653907000028994e-06
1;7.049128726066556e-06;7.049128726066556e-06;5.160154614713974e-06;5.160154614713974e-06
2;4.620571417035535e-06;4.620571417035535e-06;3.5485409171087667e-06;3.5485409171087667e-06
3;3.1771344310982386e-06;3.1771344310982386e-06;2.455966978232027e-06;2.455966978232027e-06
4;2.203336862294236e-06;2.203336862294236e-06;1.702357053545711e-06;1.702357053545711e-06
0;0.002670132555067539;0.002670132555067539;0.0006407452165149152;0.0006407452165149152
1;0.0005425817798823118;0.0005425817798823118;0.00038508130819536746;0.00038508130819536746
2;0.0003023230528924614;0.0003023230528924614;0.00020560201664920896;0.00020560201664920896
3;0.00016427869559265673;0.00016427869559265673;0.00011749998520826921;0.00011749998520826921
4;9.198574116453528e-05;9.198574116453528e-05;6.979620229685679e-05;6.979620229685679e-05
5;5.284788130666129e-05;5.284788130666129e-05;4.139710290473886e-05;4.139710290473886e-05
6;3.207663758075796e-05;3.207663758075796e-05;2.5629060473875143e-05;2.5629060473875143e-05
7;2.0187622794765048e-05;2.0187622794765048e-05;1.7365377061651088e-05;1.7365377061651088e-05
8;1.3767235941486433e-05;1.3767235941486433e-05;1.2294635780563112e-05;1.2294635780563112e-05
9;1.0096097867062781e-05;1.0096097867062781e-05;9.237191989086568e-06;9.237191989086568e-06
10;7.831919901946094e-06;7.831919901946094e-06;7.2724665187706705e-06;7.2724665187706705e-06
11;6.502672022179468e-06;6.502672022179468e-06;6.0763786677853204e-06;6.0763786677853204e-06
12;5.606615559372585e-06;5.606615559372585e-06;5.3359112826001365e-06;5.3359112826001365e-06
13;4.994252321921522e-06;4.994252321921522e-06;4.738271854876075e-06;4.738271854876075e-06
14;4.518946752796182e-06;4.518946752796182e-06;4.2562255657685455e-06;4.2562255657685455e-06
15;4.154027465119725e-06;4.154027465119725e-06;3.958401521231281e-06;3.958401521231281e-06
16;3.819482571998378e-06;3.819482571998378e-06;3.7432989756780444e-06;3.7432989756780444e-06
17;3.5728710372495698e-06;3.5728710372495698e-06;3.4728382161119953e-06;3.4728382161119953e-06
18;3.297875537100481e-06;3.297875537100481e-06;3.2393088531534886e-06;3.2393088531534886e-06
19;3.106607209701906e-06;3.106607209701906e-06;2.974022891066852e-06;2.974022891066852e-06
20;2.8793440378649393e-06;2.8793440378649393e-06;2.786337745419587e-06;2.786337745419587e-06
21;2.6972984414896928e-06;2.6972984414896928e-06;2.5806114081206033e-06;2.5806114081206033e-06
22;2.5245437882404076e-06;2.5245437882404076e-06;2.422365014354e-06;2.422365014354e-06
23;2.368789409956662e-06;2.368789409956662e-06;2.3334293928201078e-06;2.3334293928201078e-06
24;2.2215588160179323e-06;2.2215588160179323e-06;2.1601904336421285e-06;2.1601904336421285e-06
25;2.072406232400681e-06;2.072406232400681e-06;2.021768523263745e-06;2.021768523263745e-06
26;1.9397600681259064e-06;1.9397600681259064e-06;1.842907295213081e-06;1.842907295213081e-06
27;1.8278606148669496e-06;1.8278606148669496e-06;1.7621902088649222e-06;1.7621902088649222e-06
28;1.7222952237716527e-06;1.7222952237716527e-06;1.6332403447449906e-06;1.6332403447449906e-06
29;1.6160535096787498e-06;1.6160535096787498e-06;1.6117222685352317e-06;1.6117222685352317e-06
30;1.521575200058578e-06;1.521575200058578e-06;1.4386471320904093e-06;1.4386471320904093e-06
31;1.4337525726659806e-06;1.4337525726659806e-06;1.3216622392064892e-06;1.3216622392064892e-06
32;1.343652002105955e-06;1.343652002105955e-06;1.284148424929299e-06;1.284148424929299e-06
33;1.2673914397964836e-06;1.2673914397964836e-06;1.2188274922664277e-06;1.2188274922664277e-06
34;1.2007618579445989e-06;1.2007618579445989e-06;1.1442068625910906e-06;1.1442068625910906e-06
35;1.132078978116624e-06;1.132078978116624e-06;1.1012391496478813e-06;1.1012391496478813e-06
36;1.0685542974897544e-06;1.0685542974897544e-06;1.0430317161080893e-06;1.0430317161080893e-06
37;1.007093032967532e-06;1.007093032967532e-06;9.46916031807632e-07;9.46916031807632e-07
38;9.563217417962733e-07;9.563217417962733e-07;8.787261549514369e-07;8.787261549514369e-07
39;8.923609016164846e-07;8.923609016164846e-07;8.694699431543995e-07;8.694699431543995e-07
40;8.58659461755451e-07;8.58659461755451e-07;8.113725584735221e-07;8.113725584735221e-07
41;8.12747998679697e-07;8.12747998679697e-07;7.618608606207999e-07;7.618608606207999e-07
42;7.705290272497223e-07;7.705290272497223e-07;7.260858865265618e-07;7.260858865265618e-07
43;7.318933512578951e-07;7.318933512578951e-07;6.765355919924332e-07;6.765355919924332e-07
44;6.882743264213786e-07;6.882743264213786e-07;6.36150844002259e-07;6.36150844002259e-07
45;6.620310273319774e-07;6.620310273319774e-07;6.641209324698139e-07;6.641209324698139e-07
46;6.348600436467677e-07;6.348600436467677e-07;5.838159609083959e-07;5.838159609083959e-07
47;6.01743465722393e-07;6.01743465722393e-07;5.720092985939118e-07;5.720092985939118e-07
48;5.711811468245287e-07;5.711811468245287e-07;5.354693826120638e-07;5.354693826120638e-07
49;5.476334195009258e-07;5.476334195009258e-07;5.182458835406578e-07;5.182458835406578e-07
50;5.214748171056272e-07;5.214748171056272e-07;4.887175464318716e-07;4.887175464318716e-07
51;5.080885898678389e-07;5.080885898678389e-07;4.709280005954497e-07;4.709280005954497e-07
